﻿A;x;y;z;a;b;c
Bod 1;0;0;-10;0;0;0
Bod 2;25;100;-10;0;0;0
Bod 3;50;0;-10;0;0;0
Bod 4;37.5;50;-10;0;0;0
Bod 5;12.5;50;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
B;x;y;z;a;b;c
Bod 1;0;0;-10;0;0;0
Bod 2;0;100;-10;0;0;0
Bod 3;37.5;100;-10;0;0;0
Bod 4;50;87.5;-10;0;0;0
Bod 5;50;62.5;-10;0;0;0
Bod 6;37.5;50;-10;0;0;0
Bod 7;50;37.5;-10;0;0;0
Bod 8;50;12.5;-10;0;0;0
Bod 9;37.5;0;-10;0;0;0
Bod 10;0;0;-10;0;0;0
Bod 11;0;50;-10;0;0;0
Bod 12;37.5;50;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
C;x;y;z;a;b;c
Bod 1;50;18.75;-10;0;0;0
Bod 2;43.75;9.375;-10;0;0;0
Bod 3;31.25;0;-10;0;0;0
Bod 4;18.75;0;-10;0;0;0
Bod 5;6.25;9.375;-10;0;0;0
Bod 6;0;18.75;-10;0;0;0
Bod 7;0;50;-10;0;0;0
Bod 8;0;81.25;-10;0;0;0
Bod 9;6.25;90.625;-10;0;0;0
Bod 10;18.75;100;-10;0;0;0
Bod 11;31.25;100;-10;0;0;0
Bod 12;43.75;90.625;-10;0;0;0
Bod 13;50;81.25;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
D;x;y;z;a;b;c
Bod 1;0;0;-10;0;0;0
Bod 2;0;100;-10;0;0;0
Bod 3;31.25;89.5833;-10;0;0;0
Bod 4;50;62.5;-10;0;0;0
Bod 5;50;37.5;-10;0;0;0
Bod 6;31.25;10.4167;-10;0;0;0
Bod 7;0;0;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
E;x;y;z;a;b;c
Bod 1;50;0;-10;0;0;0
Bod 2;0;0;-10;0;0;0
Bod 3;0;50;-10;0;0;0
Bod 4;50;50;-10;0;0;0
Bod 5;0;50;-10;0;0;0
Bod 6;0;100;-10;0;0;0
Bod 7;50;100;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
F;x;y;z;a;b;c
Bod 1;0;0;-10;0;0;0
Bod 2;0;50;-10;0;0;0
Bod 3;50;50;-10;0;0;0
Bod 4;0;50;-10;0;0;0
Bod 5;0;100;-10;0;0;0
Bod 6;50;100;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
G;x;y;z;a;b;c
Bod 1;25;43.75;-10;0;0;0
Bod 2;50;43.75;-10;0;0;0
Bod 3;50;18.75;-10;0;0;0
Bod 4;43.75;9.375;-10;0;0;0
Bod 5;31.25;0;-10;0;0;0
Bod 6;18.75;0;-10;0;0;0
Bod 7;6.25;9.375;-10;0;0;0
Bod 8;0;18.75;-10;0;0;0
Bod 9;0;50;-10;0;0;0
Bod 10;0;81.25;-10;0;0;0
Bod 11;6.25;90.625;-10;0;0;0
Bod 12;18.75;100;-10;0;0;0
Bod 13;31.25;100;-10;0;0;0
Bod 14;43.75;90.625;-10;0;0;0
Bod 15;50;81.25;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
H;x;y;z;a;b;c
Bod 1;0;0;-10;0;0;0
Bod 2;0;100;-10;0;0;0
Bod 3;0;50;-10;0;0;0
Bod 4;50;50;-10;0;0;0
Bod 5;50;100;-10;0;0;0
Bod 6;50;0;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
I;x;y;z;a;b;c
Bod 1;12.5;0;-10;0;0;0
Bod 2;37.5;0;-10;0;0;0
Bod 3;25;0;-10;0;0;0
Bod 4;25;100;-10;0;0;0
Bod 5;12.5;100;-10;0;0;0
Bod 6;37.5;100;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
J;x;y;z;a;b;c
Bod 1;0;18.75;-10;0;0;0
Bod 2;6.25;9.375;-10;0;0;0
Bod 3;18.75;0;-10;0;0;0
Bod 4;31.25;0;-10;0;0;0
Bod 5;43.75;9.375;-10;0;0;0
Bod 6;50;18.75;-10;0;0;0
Bod 7;50;100;-10;0;0;0
Bod 8;31.25;100;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
K;x;y;z;a;b;c
Bod 1;0;0;-10;0;0;0
Bod 2;0;100;-10;0;0;0
Bod 3;0;50;-10;0;0;0
Bod 4;50;100;-10;0;0;0
Bod 5;0;50;-10;0;0;0
Bod 6;50;0;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
L;x;y;z;a;b;c
Bod 1;0;100;-10;0;0;0
Bod 2;0;0;-10;0;0;0
Bod 3;50;0;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
M;x;y;z;a;b;c
Bod 1;0;0;-10;0;0;0
Bod 2;0;100;-10;0;0;0
Bod 3;25;50;-10;0;0;0
Bod 4;50;100;-10;0;0;0
Bod 5;50;0;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
N;x;y;z;a;b;c
Bod 1;0;0;-10;0;0;0
Bod 2;0;100;-10;0;0;0
Bod 3;25;50;-10;0;0;0
Bod 4;50;0;-10;0;0;0
Bod 5;50;100;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
O;x;y;z;a;b;c
Bod 1;0;50;-10;0;0;0
Bod 2;0;81.25;-10;0;0;0
Bod 3;6.25;90.625;-10;0;0;0
Bod 4;18.75;100;-10;0;0;0
Bod 5;31.25;100;-10;0;0;0
Bod 6;43.75;90.625;-10;0;0;0
Bod 7;50;81.25;-10;0;0;0
Bod 8;50;50;-10;0;0;0
Bod 9;50;18.75;-10;0;0;0
Bod 10;43.75;9.375;-10;0;0;0
Bod 11;31.25;0;-10;0;0;0
Bod 12;18.75;0;-10;0;0;0
Bod 14;6.25;9.375;-10;0;0;0
Bod 15;0;18.75;-10;0;0;0
Bod 16;0;50;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
P;x;y;z;a;b;c
Bod 1;0;0;-10;0;0;0
Bod 2;0;100;-10;0;0;0
Bod 3;31.25;100;-10;0;0;0
Bod 4;50;87.5;-10;0;0;0
Bod 5;50;62.5;-10;0;0;0
Bod 6;31.25;50;-10;0;0;0
Bod 7;0;50;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Q;x;y;z;a;b;c
Bod 1;40.625;7.0313;-10;0;0;0
Bod 2;31.25;0;-10;0;0;0
Bod 3;18.75;0;-10;0;0;0
Bod 4;6.25;9.375;-10;0;0;0
Bod 5;0;18.75;-10;0;0;0
Bod 6;0;81.25;-10;0;0;0
Bod 7;6.25;90.625;-10;0;0;0
Bod 8;18.75;100;-10;0;0;0
Bod 9;31.25;100;-10;0;0;0
Bod 10;43.75;90.625;-10;0;0;0
Bod 11;50;81.25;-10;0;0;0
Bod 12;50;18.75;-10;0;0;0
Bod 14;43.75;9.375;-10;0;0;0
Bod 15;40.625;7.0313;-10;0;0;0
Bod 16;30;15;-10;0;0;0
Bod 17;50;0;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
R;x;y;z;a;b;c
Bod 1;0;0;-10;0;0;0
Bod 2;0;100;-10;0;0;0
Bod 3;31.25;100;-10;0;0;0
Bod 4;50;87.5;-10;0;0;0
Bod 5;50;62.5;-10;0;0;0
Bod 6;31.25;50;-10;0;0;0
Bod 7;0;50;-10;0;0;0
Bod 8;50;0;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
S;x;y;z;a;b;c
Bod 1;0;18.75;-10;0;0;0
Bod 2;6.25;9.375;-10;0;0;0
Bod 3;18.75;0;-10;0;0;0
Bod 4;31.25;0;-10;0;0;0
Bod 5;43.75;9.375;-10;0;0;0
Bod 6;50;18.75;-10;0;0;0
Bod 7;50;31.25;-10;0;0;0
Bod 8;40.625;43.75;-10;0;0;0
Bod 9;31.25;50;-10;0;0;0
Bod 10;18.75;50;-10;0;0;0
Bod 11;9.375;56.25;-10;0;0;0
Bod 12;0;68.75;-10;0;0;0
Bod 13;0;81.25;-10;0;0;0
Bod 14;6.25;90.625;-10;0;0;0
Bod 15;18.75;100;-10;0;0;0
Bod 16;31.25;100;-10;0;0;0
Bod 17;43.75;90.625;-10;0;0;0
Bod 18;50;81.25;-10;0;0;0
;;;;;;
T;x;y;z;a;b;c
Bod 1;25;0;-10;0;0;0
Bod 2;25;100;-10;0;0;0
Bod 3;0;100;-10;0;0;0
Bod 4;50;100;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
U;x;y;z;a;b;c
Bod 1;0;100;-10;0;0;0
Bod 2;0;18.75;-10;0;0;0
Bod 3;6.25;9.375;-10;0;0;0
Bod 4;18.75;0;-10;0;0;0
Bod 5;31.25;0;-10;0;0;0
Bod 6;43.75;9.375;-10;0;0;0
Bod 7;50;18.75;-10;0;0;0
Bod 8;50;100;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
V;x;y;z;a;b;c
Bod 1;0;100;-10;0;0;0
Bod 2;25;0;-10;0;0;0
Bod 3;50;100;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
W;x;y;z;a;b;c
Bod 1;0;100;-10;0;0;0
Bod 2;12.5;0;-10;0;0;0
Bod 3;31.25;100;-10;0;0;0
Bod 4;25;66.667;-10;0;0;0
Bod 5;18.75;100;-10;0;0;0
Bod 6;37.5;0;-10;0;0;0
Bod 7;50;100;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
X;x;y;z;a;b;c
Bod 1;0;0;-10;0;0;0
Bod 2;50;100;-10;0;0;0
Bod 3;25;50;-10;0;0;0
Bod 4;0;100;-10;0;0;0
Bod 5;50;0;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Y;x;y;z;a;b;c
Bod 1;25;0;-10;0;0;0
Bod 2;25;50;-10;0;0;0
Bod 3;0;100;-10;0;0;0
Bod 4;25;50;-10;0;0;0
Bod 5;50;100;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Z;x;y;z;a;b;c
Bod 1;0;100;-10;0;0;0
Bod 2;50;100;-10;0;0;0
Bod 3;0;0;-10;0;0;0
Bod 4;50;0;-10;0;0;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
